,Indeed Snippet
195,"Maintain <b>data</b> integrity of both hard copy and electronic <b>data</b> accurately and in a timely manner. Minimum of an Associate’s degree in business, computer science,…"
196,"15+ years of experience in Information Technology with a focus on Business Applications, <b>Data</b> Engineering, <b>Data</b> Architecture, <b>Data</b> Analytics and <b>Data</b> <b>Science</b>."
197,"This position works side-by-side with other <b>data</b> developers, <b>data</b> architects and analysts utilizing expert hands-on <b>data</b> development skills."
198,Understand business objectives for <b>data</b> analytics and ensure adherence to established business and <b>data</b> processes. Commitment to excellence and high standards.
199,AdAction Interactive is seeking a practiced Director of <b>Data</b> Analytics to drive the strategic and tactical decisions for the <b>Data</b> Analytics department.
200,"Provide technical expertise regarding <b>data</b> models, database design, <b>data</b> mining. <b>Data</b> Analysts have a real passion for finding trends and pattern in conducting…"
201,"Collaborate with team members across <b>data</b> functions including <b>data</b> engineers, <b>data</b> <b>scientists</b> and analysts to deliver best-in-class solutions."
202,"Requires the ability to conduct <b>data</b> mining and analytics structuring. Bachelor’s degree required, emphasis in Information <b>Science</b>, mathematics, business…"
203,"In-depth knowledge of <b>data</b> collection methods and <b>data</b> dissemination tools; Assist in the collection, analysis, and reporting of <b>data</b> to guidebook surveys …"
204,"Minimum 3 to 7 years experience as a <b>Data</b> Architect, <b>Data</b> <b>Scientist</b>, <b>Data</b> Analyst or similar role. Under the supervision of the Office of <b>Data</b> Management and…"
205,"The Hartford's Enterprise <b>Data</b> Organization is seeking a <b>Data</b> Engineer in our Hartford, CT office. Knowledge of ErWin modeling, Big <b>Data</b> Distributed Processing …"
206,"1 year of experience in an ad sales, ad support, finance, <b>data</b> <b>science</b>, or strategy and operations role. Synthesize advertiser <b>data</b> and conduct analyses to…"
207,"Analysts will provide support in various areas from collecting/organizing <b>data</b>, typing in <b>data</b> provided directly from customers and paper documents, updating…"
208,"Accounting <b>data</b> entry assistant requirements: What you will do as an accounting <b>data</b> entry assistant: The motto, “Engineering and <b>Science</b> for Fun and Profit”…"
209,Proven experience as a <b>Data</b> <b>Scientist</b> or <b>Data</b> Analyst. Graduate degree in <b>Data</b> <b>Science</b> or another quantitative field would be preferred.
210,"As the <b>Data</b> Center Infrastructure & Operations Analyst under broad supervision of the <b>Data</b> Center Manager, this position will provide support for TDECU’s data…"
211,"Enable advanced analytics and <b>data</b> <b>science</b> teams; Develop and maintain a conceptual <b>data</b> architecture framework, roadmap, and design standards for data…"
212,"The <b>Data</b> Engineer will support our software developers, software architects, <b>data</b> analysts and <b>data</b> <b>scientists</b> on <b>data</b> initiatives and will ensure optimal data…"
213,"Experience with <b>data</b> cleansing, <b>data</b> reconciliation, and <b>data</b> validation. You’re passionate about <b>data</b> and analytics, information security, use <b>data</b> science…"
214,"Designing and implementing <b>data</b> warehouse schemas for big <b>data</b>. You have a degree in Computer <b>Science</b>, MiS or Mathematics. You are passionate about quality."
215,"Interpreting <b>data</b>, analyzing results using statistical techniques. Supporting initiatives for <b>data</b> integrity and normalization."
216,"Graduate Degree in Computer <b>Science</b>, Mathematics, Operational research, Information <b>Science</b>, Engineering, Statistics. Execute end to end client engagements."
217,"Bachelors in <b>science</b> , engineering or equivalent. 1 Big <b>Data</b> PL4 Required 2 Apache Hadoop PL1 Required. Identify & provide Inputs to Program Manager on new…"
218,The <b>Data</b> <b>Scientist</b> SME candidate will work with stakeholders to identify opportunities for leveraging Air Force (AF) <b>data</b> to drive solutions.
219,"<b>Data</b> Integration and <b>Data</b> Quality: Fundamental knowledge of <b>Data</b> Integration and <b>Data</b> Quality (data profiling, <b>data</b> cleansing) experience."
220,"Bachelor’s degree in a related field, ideally with an emphasis in finance, economics, statistics, <b>data</b> <b>science</b>, mathematics, or accounting."
221,"Your central responsibility as the <b>Data</b> Architect will be to develop, optimize and oversee our company’s conceptual and logical <b>data</b> systems."
222,"Advanced-level knowledge of relational databases, working with large/ complex <b>data</b> sets, <b>data</b> warehousing, <b>data</b> mining, and <b>data</b> mapping."
223,"Address application documents to <b>Data</b> <b>Science</b> Hiring Committee. The department offers undergraduate programs in mathematics, <b>data</b> <b>science</b> and statistics, and…"
224,"Uses comprehensive knowledge and understanding of relational <b>data</b> base concepts, including <b>data</b> architecture, operational <b>data</b> stores, ETL processes, interface…"
225,Ability to learn new software based <b>data</b> and document management systems. Experience or some exposure to reviewing Clinical or Analytical <b>data</b> and medical…
226,"Experience and detailed knowledge with Master <b>Data</b> Management, ETL, <b>Data</b> Quality, metadata management, <b>data</b> profiling, micro-batches, streaming <b>data</b> loads."
227,"Provide network <b>data</b> communications analyst support for the KDAM contract at Kirtland AFB, NM. Research and recommend network and <b>data</b> communications hardware…"
228,"Proven experience in <b>data</b> management and/or <b>data</b> engineering with a good understanding of databases, <b>data</b> pipelines, big <b>data</b> platforms, <b>data</b> management…"
229,"Bachelor’s degree required in related field (computer <b>science</b>, health <b>science</b>, statistics/biostatistics or related fields including public health), Master’s…"
230,"Writing complex SQL code to pull <b>data</b> from Schwab’s <b>data</b> warehouse,. Writing R code to manipulate <b>data</b> and run regression models,."
231,"Experience with all steps within the <b>Data</b> Management lifecycle and most major <b>Data</b> Management study tasks, with proficiency in at least one Clinical Data…"
232,"Bachelor's degree in Degree preferably in Computer <b>Science</b>, Information Technology, Management Information system, <b>Data</b> <b>Science</b>, Engineering or related…"
233,<b>Data</b> Platform or equivalent preferred. Bachelor’s degree in computer <b>science</b>. 5+ years’ experience leading <b>data</b> analytics projects.
234,"Collaborates with Head, <b>Data</b> Management and the DM LT to enhance in-stream <b>data</b> review. Accountability for managing the <b>data</b> visualisation tools to support the…"
235,"In Information Technology, Computer <b>Science</b>, or equivalent. Redis, specifically, is used extensively in a distributed locking system, responsible for supporting…"
236,"BS in a technical field (BI, Analytics, <b>Data</b> <b>Science</b>, IS, Computer <b>Science</b>, etc). MS in a Data-related field (BI, Analytics, <b>Data</b> <b>Science</b>, etc)."
237,"Bachelor’s degree in Computer <b>Science</b>, Math, Engineering, <b>Science</b> or IT related degree. Master of <b>Science</b> degree in Engineer, Computer <b>Science</b>, Information…"
238,"Experience with <b>data</b> management and <b>data</b> modelling. This individual will be well-equipped to work with <b>data</b> in all forms and stages, including raw <b>data</b> mining,…"
239,"Bachelor of <b>Science</b> degree (B.S.). Management, retention, and transmission of program <b>data</b>; Creates <b>data</b> based periodic contract deliverables (CDRLs) for…"
240,Design <b>data</b> tracking and monitoring tools. Assist in development of <b>data</b> tracking systems. Collect and enter <b>data</b> into program approved systems.
241,"Good knowledge of <b>data</b> modeling, <b>data</b> access, and <b>data</b> storage techniques. Experience building / operating highly available, distributed systems of data…"
242,"Familiarity with common <b>data</b> <b>science</b> tools and technology such as R, Python, Jupiter Notebooks. The role will focus on maturing DevOps platforms in support of…"
243,"This effort will ultimately help the organization to achieve increased <b>data</b> quality, reduce <b>data</b> redundancy, and streamlined system engagement by the user…"
244,"Bachelors (or equivalent) in <b>data</b> <b>science</b>, statistics or related field; Master builder of dashboards and reporting insights through <b>data</b> studio or data…"
245,"Develops a “trusted advisor” reputation through expertise in <b>data</b>. Experience with <b>data</b> visualization tools preferred (Tableau, Qlik, etc)."
246,Bachelor's or Master's Degree in a Computer <b>Science</b> or STEM field. This role will be responsible for developing the life cycle of a model from <b>data</b> preparation…
247,"Extract, transform, and load <b>data</b> from multiple <b>data</b> sources using ETL tools. <b>Data</b> Manager, Publicis Health Media- New York(Job Number:"
248,"Experience over operational activities (business analysis, testing, etc.), reference <b>data</b> and/or enterprise <b>data</b> management or <b>data</b> governance preferred."
249,"Technical expertise regarding <b>data</b> models, database design development, <b>data</b> mining and segmentation techniques; Managing <b>data</b> and analytics governance;"
250,"Are you a high performing <b>data</b> engineer and/or <b>data</b> <b>scientist</b> that has experience leading, mentoring and ideally managing a team of <b>data</b> <b>scientists</b> and…"
251,Technical Sample Management and Laboratory Information Management (LIMS) <b>Data</b> Builder. Perfect position for the <b>scientist</b> that does not want to be at the bench!
252,"Serving as a primary liaison to <b>data</b> vendor(s), including coordinating custom <b>data</b> pulls for use in referrer analysis tools and ad hoc <b>data</b> analysis for…"
253,"<b>Data</b> Infrastructure is hiring for: As engineers on the <b>Data</b> Infrastructure team, our mission is to build the fastest, most reliable, and largest-scale data…"
254,The IT Manager for Enterprise <b>Data</b> and Analytics will support the Fleet Management Solutions customers and technical teams for solutioning end-to-end data…
255,"This effort will ultimately help the organization to achieve increased <b>data</b> quality, reduce <b>data</b> redundancy, and streamlined system engagement by the user…"
256,"Senior Software Engineer - Big <b>Data</b>. In Computer <b>Science</b> or equivalent work experience, M.S. Experience with large <b>data</b> sets and distributed computing."
257,Build prototypes that enable rapid experimentation and user testing of <b>data</b> <b>science</b> algorithms. Experience with Map-Reduce <b>data</b> computing and <b>data</b> pipelining…
258,"Senior Programmer/Developer - AI <b>Data</b> Engineer-047120. Are experienced with common <b>data</b> <b>science</b> tools such as Python, R, PyTorch, TensorFlow, Keras, NLTK, Spacy…"
259,Technical Sample Management and Laboratory Information Management (LIMS) <b>Data</b> Builder. Perfect position for the <b>scientist</b> that does not want to be at the bench!
260,"The Clinical <b>Data</b> Abstraction Nurse performs pre-admission, admission, concurrent and retrospective <b>data</b> abstraction on selected cases."
261,"Caris Life <b>Sciences</b> is looking for a sharp, driven and goal-oriented <b>Data</b> <b>Scientist</b> to provide <b>data</b> mining and analysis support for novel biomarker discovery…"
262,<b>DATA</b> <b>SCIENTIST</b> (remote role)- 6-12 months contract – *. Need 5 years of actual work experience as <b>Data</b> <b>Scientist</b>*.
263,"Very strong <b>data</b> <b>science</b> skills: Revolutionizing BI analytics,Zdaly offers an augmented <b>data</b> intelligence platform that unifies <b>data</b> <b>science</b>, machine learning…"
264,"Experience in <b>data</b> acquisition, <b>data</b> collection, <b>data</b> cleaning, model development, model validation, and visualization to deliver <b>data</b> <b>science</b> solutions."
265,"Bachelor’s degree in <b>data</b> <b>science</b>, statistics, social, behavioral or decision <b>sciences</b>, or related field from an accredited university or college, plus…"
266,"Thinkful is launching a new immersive <b>data</b> <b>science</b> program which aims to be the best in-class remote, full-time <b>data</b> <b>science</b> program offered today."
267,Enhance <b>data</b> collection procedures by assessing the effectiveness and accuracy of <b>data</b> sources and <b>data</b> gathering techniques.
268,"10+ years of experience working as a <b>data</b> <b>scientist</b>. Degree in computer <b>science</b>, statistics, physics, applied mathematics, or similar quantitative fields."
269,3+ experience as <b>data</b> <b>scientist</b> working on various <b>data</b> <b>science</b> projects. Experience with SQL and big <b>data</b> technologies like Spark.
270,"Demonstrates proficiency in several areas of <b>data</b> modeling, machine learning algorithms, statistical analysis, <b>data</b> engineering and <b>data</b> visualization."
271,"The <b>Data</b> <b>Scientist</b> will have a number of responsibilities, including: Apply <b>data</b> <b>science</b> methods principles to test-and-control study design, implementation,…"
272,"Contribute to <b>data</b> team initiatives focused on ensuring fast, reliable, and comprehensive <b>data</b>. We are looking for a savvy <b>data</b> <b>scientist</b> to examine user…"
273,"Statistics, <b>data</b> <b>science</b>, mathematics, economics, computer <b>science</b>) with minimum 4 years of experience required. There are 7 billion people on this planet."
274,"Experience with and ability to work with <b>data</b> including rapid prototyping and coding skills using common <b>data</b> <b>scientist</b> tools (e.g., Python/R, Plotly, Shiny,…"
275,"In conjunction with <b>Data</b> Engineers, building and managing new <b>data</b> tables that support <b>data</b> collection, cross-functional <b>data</b> integration, <b>data</b> visualization,…"
276,"Creates best practices and drives excellence in <b>data</b> preparation, including sampling, <b>data</b> pulling, aggregation, and other <b>data</b> preparation treatments."
277,"Supports <b>data</b> collection, integration, and retention requirements for <b>data</b>. This role would be attractive for <b>data</b> <b>scientists</b> who have experience with big data…"
278,"JUNIOR <b>DATA</b> <b>SCIENTIST</b> – ENTRY LEVEL. Deep understanding of information technology practices relating to <b>data</b>, <b>data</b> warehousing, ETL processes and <b>data</b> mining."
279,"<b>Data</b> Dictionary, <b>Data</b> Cleansing, <b>Data</b> Integration: Five years of experience with <b>Data</b> Dictionary, <b>Data</b> Cleansing, <b>Data</b> Integration and <b>Data</b> Flow Design."
280,The <b>Data</b> <b>Scientist</b> will lead efforts to build better solutions and make more informed decisions using <b>data</b>. Affinity for <b>data</b> and analysis.
281,"Experience with financial <b>data</b>, or with alternative <b>data</b> that could inform investment theses (such as government <b>data</b>, web <b>data</b>, or geospatial <b>data</b>)."
282,"Using machine learning and <b>data</b> mining techniques to understand the patterns in large volumes of <b>data</b>, identify relationships, detect <b>data</b> anomalies, and…"
283,"<b>Data</b> <b>Science</b>, Applied Mathematics, Computer <b>science</b> (e.g. Associate <b>Data</b> <b>Scientists</b> produce innovative solutions driven by exploratory <b>data</b> analysis from…"
284,"Under the direction of the <b>Data</b> <b>Science</b> Systems Manager, the <b>Data</b> <b>Science</b> Developer is responsible for creating, maintaining and updating IEHP enterprise…"
285,"MS in Computer <b>Science</b>, Statistics, <b>Data</b> <b>Science</b> or equivalent industry experience. 3+ years in <b>Data</b> <b>Science</b> or similar quantitative roles."
286,"10 years of experience leading and delivering business solutions that rely on <b>data</b> <b>science</b>, <b>data</b> warehousing, or Business Intelligence."
287,"4 years of relevant work experience (e.g., as a statistician / <b>data</b> <b>scientist</b>), including deep expertise and experience with statistical <b>data</b> analysis such as…"
288,<b>Data</b> <b>scientists</b> work embedded in specific business areas or on our centralized enterprise analytics team to develop <b>data</b> <b>science</b> products using machine learning…
289,"Deep technical background and application of <b>data</b> <b>science</b> including machine learning, experimentation and statistics for structured and unstructured <b>data</b>."
290,"Comfort with statistics and its application to <b>data</b> analysis. The Production <b>Data</b> <b>Scientist</b> will engage in the day-to-day operations of the SPT program, improve…"
291,"About the <b>Data</b> Analyst/ <b>Data</b> <b>Scientist</b> Role. As a result, many of our team members have a background in <b>data</b> <b>science</b>, whether formally or informally."
292,The <b>Data</b> <b>Scientist</b> will support the customer’s overall cyber threat analysis efforts. Serves as a <b>Data</b> <b>Scientist</b> for cybersecurity in support of a major federal…
293,"Work closely with <b>data</b> engineering team to ensure robust <b>data</b> pipelines and model deployment. Understand <b>data</b> landscape i.e tooling, tech stack, source systems…"
294,"Ensures that our clients receive quality <b>data</b> by reviewing laboratory <b>data</b> for accuracy, clarity, and adherence to GMP and/or GLP regulations."
295,Enter spatial and tabular <b>data</b> on species occurrences. Designs and assembles materials for special project products or in response to <b>data</b> requests.
296,"Manage and integrate <b>data</b> across dissimilar <b>data</b> sets. Ability to merge <b>data</b> sources together, ensure consistency of data-sets, frame visualization techniques…"
297,"<b>Data</b> <b>Scientists</b> are responsible for organizing, analyzing, and then sharing insights gleaned from <b>data</b>. 10%-Seeks further knowledge on key developments within…"
298,"Do you view <b>data</b> as an art and a <b>science</b>? As an Industry <b>Data</b> <b>Scientist</b>, you will help clients understand and extract insight and value from their <b>data</b> using…"
299,Create innovative approaches to using <b>data</b> driven approaches to manage <b>data</b> sets and clinical performance metrics. Familiarity with eClinic Works and i2iTracks.
300,"Bachelor’s degree required, preferably in Computer <b>Science</b>, Mathematics or Statistics. Master’s degree required, preferably in Computer <b>Science</b>, Mathematics or…"
301,The Department of Radiology currently has an outstanding opportunity for a <b>DATA</b> <b>SCIENCE</b> ADMINISTRATOR. Experience with healthcare and/or clinical <b>data</b>;
302,"The portfolio of opportunities will include energy, cybersecurity, and other areas where PNNL’s expertise in complex systems modeling and <b>data</b> analytics –…"
303,"Proficient in using Excel, statistical tools (e.g., R, Knime, SAS), and general <b>data</b> architecture and <b>data</b> visualization. 2-4 years of relevant work experience."
304,"BS Engineering, Computer <b>Science</b>, Masters preferred. Networking, Security, <b>Data</b> Center, Collaboration, SP, IoT, Cross-BE. Who You Are Customer Obsessed :"
305,"Bachelor's degree in computer <b>science</b>, management information <b>science</b>, bioinformatics, or a related field; <b>Data</b> Governance Senior Analyst (Job Opening 455939) -…"
306,<b>Data</b> <b>Scientist</b> position will be working on building <b>data</b> <b>science</b> based analytics in customer backed solutions. Excellent Analytical and Problem solving skills.
307,Three years experience actively engaged in <b>data</b> <b>science</b> or some other research-oriented activity. Identifies meaningful insights from large <b>data</b> and metadata…
308,The team provides expertise in <b>data</b> <b>science</b> & analytics to optimize sales performance for our bankers and financial advisors across the firm.
309,"Senior <b>Data</b> <b>Scientist</b> - Clinical <b>Data</b> <b>Science</b>. Clinical <b>Data</b> <b>Science</b>, Digital Health & Analytics. As a Senior <b>Data</b> <b>Scientist</b>, you will:"
310,"Building web-based front ends for <b>data</b> input and/or output. Bachelor’s or Master’s degree with a major in Computer Engineering, Computer <b>Science</b>, Electrical…"
311,"The portfolio of opportunities will include energy, cybersecurity, and other areas where PNNL’s expertise in complex systems modeling and <b>data</b> analytics –…"
312,"Change the world with the <b>Data</b> <b>Science</b> Bowl—the world’s premier <b>data</b> <b>science</b> for social good competition. As a <b>data</b> <b>scientist</b>, you can turn these complex data…"
313,The Lead <b>Data</b> <b>Scientist</b> will: Manage and mentor junior <b>data</b> <b>scientists</b>. 5+ years of hands-on <b>data</b> <b>science</b> experience in industry.
314,Experience with end-to-end <b>Data</b> <b>Science</b> solutions such as H2O Driverless or <b>Data</b> Robot. A deep interest in <b>Data</b> <b>Science</b> and AI. Do you enjoy exploring datasets?
315,"Experience delivering on <b>data</b> <b>science</b> projects using statistical modeling, predictive technologies, <b>data</b> mining and/or text mining."
316,"Analyzing <b>data</b>, design and build databases tables to capture all <b>data</b> elements, and load <b>data</b>, while maintaining <b>data</b> lineage and operational tracking."
317,Implement <b>data</b> <b>science</b> algorithm and utilize big <b>data</b> advanced analytics platform to create applications for stakeholders. Attention to detail and proactive.
318,The <b>Data</b> <b>Scientist</b> will apply advanced analytics techniques to large <b>data</b> sets and synthesize insights into actionable business opportunities.
319,"Providing technical expertise on <b>data</b> storage structures, <b>data</b> mining, and <b>data</b> cleansing. The <b>Data</b> Analyst is responsible for managing applications and…"
320,"As a member of WSP’s <b>Data</b> Informatics Group, you will be part of a growing organization that is at the intersection of transportation planning and <b>data</b> <b>science</b>."
321,"Incorporate the latest <b>data</b> <b>science</b> thinking into NUSA’s solutions and models. As a “Business Scientist” (Business Acumen + <b>Data</b> <b>Scientist</b>), the Enterprise…"
322,"Bachelor's degree in public health, statistics, epidemiology, behavioral <b>science</b>, public administration, or related field, and one year of experience in data…"
323,Senior <b>Data</b> Scientist/Associate Principal <b>Scientist</b> in Bioinformatics (Emerging Innovations). You will join a multi-disciplinary team of <b>data</b> <b>scientists</b> and…
324,"Provide analytic support to the <b>data</b> <b>science</b> team. Develop machine learning models to apply test <b>data</b> algorithms to future <b>data</b>. Banks, seven of the top 10 U.S."
325,"Preps incoming <b>data</b> for use by <b>Data</b> <b>Scientists</b>. Modifies basic R, SAS, or Python code, developed by <b>Data</b> <b>Scientists</b>, for broader application within the team."
326,Our Fox Technology <b>Data</b> Products team is looking for a Senior <b>Data</b> <b>Scientist</b> with a strong foundation in ML/AI. A SNAPSHOT OF YOUR RESPONSIBILITIES.
327,Experience with <b>data</b> analysis and making recommendations based on <b>data</b>. The Analytical & <b>Data</b> Visualization Developer will be responsible for extracting data…
328,Provide <b>data</b> integration expertise for <b>Data</b> Analytics to design <b>data</b> management process that provides appropriately structured or unstructured <b>data</b> that is…
329,Knowledge of <b>data</b> warehouse architecture and <b>data</b> modeling. Map <b>data</b> between source systems and the <b>data</b> warehouse. Develop and validate end-user reports.
330,"Build big <b>data</b> pipelines, <b>data</b> sets and conduct performance tuning. Build processes supporting <b>data</b> transformation, <b>data</b> structures, metadata, dependency and…"
331,"Performs the pre-analytics areas of <b>data</b> collection and understanding, <b>data</b> cleansing and integration, and <b>data</b> storage and retrieval."
332,"A Bachelor's Degree in Physical, Natural, or Environmental <b>Science</b>, Soil <b>Science</b>, or Engineering and four (4) years of work experience in public/environmental…"
333,"Manage, develop and retain team of <b>data</b> <b>scientists</b>. Statistics, Economics, Applied Math, Operations Research, other <b>Data</b> <b>Science</b> fields)."
334,"<b>Data</b> Base Administrator IV (00008731). <b>Data</b> Base Administrator IV (Development DBA). Designs and implements reliable, reusable, and robust ETL solutions that…"
335,"As the Senior <b>Data</b> <b>Scientist</b>: Manager, <b>Data</b> <b>Science</b> & Risk Management. Johnson & Johnson, Health Care Compliance & Privacy (HCCP) is currently recruiting for a…"
336,"Train staff on <b>data</b> use and standards, <b>data</b> analysis, and <b>data</b> systems as needed. Develop <b>data</b> protocols and insure adherence to organizational <b>data</b> use…"
337,"Champion initiatives around <b>data</b> quality and <b>data</b> integrity. Expert in <b>data</b> modeling for relational and document-based <b>data</b> stores, including conceptual,…"
338,Lending Analytics Business Intelligence and <b>Data</b> <b>Science</b> team is seeking a leader who enjoys transforming <b>data</b> into insights!
339,"Financial, digital marketing, transactional e-commerce, event-level product <b>data</b>, unstructured <b>data</b>. We are seeking a Senior <b>Data</b> <b>Scientist</b> to be part of our…"
340,"Understanding of survey points, object <b>data</b>, and pipeline <b>data</b> flow. The <b>Data</b> Technician should possess the skills, experience, and knowledge to support the…"
341,"Graduate degree in social <b>science</b>, <b>data</b> <b>science</b>, statistics, mathematics, computer <b>science</b>, or related field. At Fors Marsh Group (FMG), we combine the power of…"
342,"Intermittent Lecturer in <b>Data</b> <b>Science</b>. Master's degree in <b>Data</b> <b>Science</b> or a related field, such as Information, Computer <b>Science</b>, or Statistics."
343,"3+ years of <b>data</b> <b>science</b> experience, particularly with digital consumer products with millions of users. Problem-solve with product development teams through…"
344,"In <b>Data</b> <b>Science</b> or a related field, such as Information, Computer <b>science</b>, or Statistics. Master's degree in <b>Data</b> <b>Science</b> or a related field, such as…"
345,This individual is responsible to respond to <b>data</b> requests and <b>data</b> report requests from county juvenile departments and JJSD.
346,Bachelor of <b>Science</b> and 2 years' <b>data</b> <b>science</b> experience OR Master of <b>Science</b> and 1 year's <b>data</b> <b>science</b> experience.
347,"Knowledge of the supply chain or retail industry, <b>data</b> <b>science</b>, inventory, logistics, warehousing, purchasing, demand or production planning preferred but not…"
348,Chase <b>Data</b> & Analytics Team unifies <b>data</b> and analytics talent across Chase to responsibly leverage <b>data</b> to build competitive advantages for our businesses with…
349,"Bachelor’s degree in Computer <b>Science</b> or related major. We are seeking a talented <b>Data</b> Engineer to write, debug, maintain, and test software in support of a…"
350,"Review <b>data</b> and database backups. Strong Transact-SQL & MS <b>Data</b> Transformation Services (DTS) knowledge. Perform ETL (extract, transform, load) <b>data</b> imports,…"
351,"Strong collaborations skills working with <b>data</b> architects, <b>data</b> <b>scientists</b>, developers, and other IT team members. Good at Java and Python programming."
352,Acquire <b>data</b> from primary or secondary <b>data</b> sources and maintain consolidation processes. Develop and implement <b>data</b> collection systems and strategies that…
353,The team provides expertise in <b>data</b> <b>science</b> & analytics to optimize sales performance for our bankers and financial advisors across the firm.
354,Core Operations Analyst – Symitar System and Episys <b>Data</b> Structure*. Extensive working knowledge of the Symitar system and Episys <b>data</b> structure.
355,"Works closely with other <b>Data</b> & Analytics team members to fully understand <b>data</b> sources, <b>data</b> use, and to implement <b>data</b> best practices."
356,"Experience with <b>data</b> analysis, <b>data</b> modeling and <b>data</b> presentation (reports, charts, tables, dependencies, interfaces, etc.). Be able to effectively multitask;"
357,"Other - Train peers on specialist <b>data</b> <b>science</b> topics. 8+ years’ experience as a <b>Data</b> <b>Scientist</b> in a reputed organization. Map Reduce, Hadoop, Hive, and Kafka."
358,"About the Senior <b>Data</b> Analyst/ Senior <b>Data</b> <b>Scientist</b> Role. As a result, many of our team members have a background in <b>data</b> <b>science</b>, whether formally or…"
359,"The Lead <b>Data</b> <b>Scientist</b> at Lucid is setting <b>data</b> <b>science</b> foundation for our fast growing <b>data</b> team, to enable the company tackling challenges which are haven’t…"
360,Aetna takes our candidate's <b>data</b> privacy seriously. Performs analyses of structured and unstructured <b>data</b> to solve multiple and complex business problems.
361,"For an additional description of this position, please refer to the classification specification for <b>Data</b> Processing Manager. LAST DATE FOR FILING APPLICATION:"
362,Saint-Gobain’s North American R&D center is looking for a <b>data</b> <b>scientist</b> to grow its <b>data</b> analytics team. We are looking for someone with a Master’s degree in…
363,7+ years proven experience in <b>Data</b> <b>Science</b>. Is seeking qualified Senior <b>Data</b> <b>Scientists</b> (AI) to join our team! Should be extremely facts and <b>data</b> oriented.
364,"Lead <b>data</b> strategy and <b>data</b> governance programs to enable greater usability and insights from <b>data</b>. Be a thought leader in Big <b>Data</b>, <b>Data</b> Analytics & Data…"
365,Shall provide expertise in both defining <b>data</b> structures and <b>data</b> integration practices for business intelligence or for operational uses.
366,Lead <b>Data</b> Architect (Chief Architect). 10 years experience working with <b>data</b> sets. Knowledge of standard government <b>data</b> management tools.
367,"That as a Director of <b>Data</b> <b>Science</b>, you will be responsible for using <b>data</b> <b>science</b> to manage a large client that spans the globe. A Master's Degree, huge plus."
368,"Bachelor's degree required – MIS, Information Technology Management, Computer <b>Science</b>, Mathematics, Business or related preferred."
369,"You can mentor early-career <b>data</b> <b>scientists</b>. You will lead <b>data</b> <b>science</b> projects at the intersection ofmachine learning and healthcare, working with business…"
370,"Excellent analysis and problem solving competence, <b>data</b> <b>science</b> or <b>data</b> analytics background preferred . Analyzes and interprets the <b>data</b> to identify issues and…"
371,Assist with defining <b>data</b> protection models and enforcement of <b>data</b> classifications. Recommend ways to improve <b>data</b> protection and reduce risk to <b>data</b> loss.
372,"Demonstrated proficiency in applied statistics, and <b>data</b> <b>science</b>. Reporting to the Supervisor, <b>Data</b> Analytics, the <b>Data</b> Analyst performs complex analytical work…"
373,You will advocate for <b>data</b> <b>science</b> and machine learning through engaging with the external <b>data</b> <b>science</b> community and/or contributing to technical blogs.
374,"Integrate external <b>data</b> sources into <b>data</b> pipeline. As a <b>Data</b> Engineer, you will focus on transforming <b>data</b> into meaningful insights using the most modern…"
375,We are looking for a Junior <b>Data</b> Engineer who has a passion for <b>data</b> and comes with a <b>data</b> engineering background. Benefit eligibility may vary by position.
376,"From acquiring, cleaning, interpreting, analyzing, and visualizing our <b>data</b> sources, you'll become the in-house expert on everything <b>data</b> related."
377,Skill in analyzing large <b>data</b> sets. Analyzes program <b>data</b> using statistical and relational database software. 3 years conducting complex analysis of health care…
378,"Experience performing <b>data</b> review in a GxP environment. Identify deviations, OOS and OOT associated with Bioanalytical Operations <b>data</b>."
379,We are looking for a Manager - <b>Data</b> <b>Scientist</b> who will be responsible for project management of <b>Data</b> <b>Science</b> initiatives in support of ADP Sales and Marketing…
380,Bachelor of <b>Science</b> degree in a <b>science</b> related field or equivalent experience. Quality Engineer and/or <b>data</b> analysis experience preferred.
381,"Statistics, Economics, Applied Math, Operations Research, other <b>Data</b> <b>Science</b> fields). Expert knowledge in quantitative methods for business, advanced data…"
382,This position will report to the Director Cognitive <b>Data</b> <b>Science</b> within Business Transformation & Analytics. Identifies meaningful insights from large <b>data</b> and…
383,This role centers around the ability to use <b>data</b> from a myriad of vended and internally developed <b>data</b> platforms to help caregivers garner insights.
384,Ability to profile <b>data</b> and ascertain <b>data</b> quality issues. Strong <b>data</b> integration skills needed for disparate <b>data</b> source rationalization.
385,Associate degree and/or 2 years minimum <b>data</b> entry/customer service experience. Direct unresolvable issues to Clinical <b>Data</b> Reporting Team Lead or other…
386,"BA/BS in a field that emphasizes <b>data</b> analysis and visualization (e.g., computer <b>science</b>, social <b>sciences</b>, physical <b>sciences</b>, math, engineering, or statistics),…"
387,Experience applying NLP to <b>data</b> <b>science</b> problems. You will work closely with the <b>data</b> <b>science</b> and engineering team to improve computational efficiency of…
388,"The position requires collaboration within a multi-disciplinary research environment consisting of mathematicians, computational <b>scientists</b>, computer scientists…"
389,"The Sr <b>Data</b> Warehouse Analyst will lead a development team responsible for developing, implementing and maintaining <b>data</b> warehouses using the Microsoft SQL…"
390,The <b>Data</b> Assistant for Membership Mobilization will manage the flow of <b>data</b> from the field into a database and update reports for senior staff to help run more…
